date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:03	10512/10512	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Mar%202021%2020:46:05%20GMT	http://www.ucol.mx/cms/plantilla2.php	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/plantilla2.html	(from )
14:46:03	103/103	---M-Z	200	added ('OK')	text/plain	etag:%22ae-575b47a5c84c0-gzip%22	http://www.ucol.mx/robots.txt		(from )
14:46:04	319/319	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2009%20Mar%202021%2020:46:06%20GMT	http://wayf.ucol.mx/ucol_mini.png	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/wayf.ucol.mx/ucol_mini.1.delayed	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:04	289/289	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Mar%202021%2020:46:06%20GMT	https://wayf.ucol.mx/ucol_mini.png	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/wayf.ucol.mx/ucol_mini.2.delayed	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:04	451/451	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221c3-50371235c69c0%22	http://www.ucol.mx/cms/img/favicon.ico	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/img/favicon.ico	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:05	13269/13269	---M-Z	200	added ('OK')	text/css	etag:%2233d5-5ba633e577180-gzip%22	http://www.ucol.mx/cms/headerfooterapp2.css	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/headerfooterapp2.css	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:05	3393/3393	---M-Z	200	added ('OK')	text/css	etag:%22d41-570958955b203-gzip%22	http://www.ucol.mx/cms/beta/css/carrusel.css	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/css/carrusel.css	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:05	84344/84344	---M-Z	200	added ('OK')	application/javascript	etag:%2214978-56e26fe36514a-gzip%22	http://www.ucol.mx/cms/beta/js/jquery.min.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/js/jquery.min.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:05	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2009%20Mar%202021%2020:46:07%20GMT	http://www.ucol.mx/cms/plantillas.php	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/plantillas.php	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:05	1/1	---M--	302	error ('Found')	text/html	date:Tue,%2009%20Mar%202021%2020:46:08%20GMT	http://www.ucol.mx/cms/	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/index.html	(from http://www.ucol.mx/cms/plantilla2.php)
